temperature,humidity,pressure,altitude,absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2],acceleration_magnitude,angular_velocity_magnitude,pitch,roll,jerk[0],jerk[1],jerk[2],jerk_magnitude,fall
19.72,42.66,101509.17,-15.29,0.0,-6.37,96.56,-0.06,0.25,0.06,0.03,0.19,0.0,0.1923538406167134,0.2640075756488817,1.4141944498128811,-1.5707963267948966,0.0,0.0,0.0,0.0,0
19.72,42.69,101508.74,-15.29,0.0,-6.37,96.56,-0.13,0.06,0.06,0.07,0.19,-0.01,0.2027313493271329,0.1552417469626002,1.2145165556254367,-1.7126933813990606,2.0000000000000004,0.0,-0.5,2.0615528128088307,0
19.72,42.73,101511.76,-15.54,0.0,-6.37,96.56,-0.06,-0.19,0.06,0.0,0.25,0.05,0.2549509756796392,0.2080865204668481,1.373400766945016,-0.0,-3.5000000000000004,3.0,3.0,5.5,0
19.72,42.73,101511.76,-15.54,0.0,-6.37,96.56,0.0,-0.13,0.0,0.05,0.2,0.01,0.2063976744055029,0.13,1.321163377442021,-1.373400766945016,2.5,-2.5,-2.0,4.06201920231798,0
19.72,42.75,101511.83,-15.54,0.0,-6.37,96.56,0.06,-0.13,-0.06,0.0,0.18,0.02,0.1811077027627483,0.1552417469626002,1.460139105621001,-0.0,-2.5,-1.0000000000000009,0.5,2.738612787525831,0
19.72,42.75,101511.83,-15.54,0.0,-6.37,96.56,0.0,-0.13,0.0,0.07,0.17,-0.01,0.1841195263952197,0.13,1.1766201348408063,-1.7126933813990606,3.5000000000000004,-0.499999999999999,-1.5,3.840572873934304,0
19.72,42.76,101510.92,-15.47,0.0,-6.37,96.56,-0.06,-0.25,0.0,-0.01,0.22,0.02,0.2211334438749598,0.2570992026436488,1.4695047178610432,0.4636476090008061,-4.0,2.5,1.5,4.949747468305833,0
19.72,42.76,101510.92,-15.47,0.0,-6.37,96.56,0.19,-0.19,0.06,0.04,0.18,0.03,0.186815416922694,0.2753179979587241,1.299849476456476,-0.9272952180016124,2.5,-2.0000000000000004,0.4999999999999999,3.24037034920393,0
19.72,42.76,101509.58,-15.36,0.0,-6.37,96.56,0.06,-0.31,-0.06,0.0,0.17,0.02,0.1711724276862369,0.3214031735997639,1.4536875822280324,-0.0,-2.0,-0.499999999999999,-0.4999999999999999,2.1213203435596424,0
19.73,42.29,101511.8,-15.54,0.06,-6.37,96.62,0.13,0.06,0.0,-0.01,0.17,0.03,0.1729161646579058,0.1431782106327635,1.3868820394559724,0.3217505543966422,-0.5,0.0,0.4999999999999999,0.7071067811865475,0
19.73,42.29,101511.8,-15.54,0.06,-6.37,96.62,0.0,0.0,0.06,0.09,0.28,0.01,0.2942787793912432,0.06,1.2580062669213976,-1.460139105621001,4.999999999999999,5.500000000000001,-0.9999999999999998,7.5,1
19.73,42.23,101509.65,-15.36,0.06,-6.37,96.62,0.37,-0.31,0.13,-0.17,0.19,0.04,0.2580697580112788,0.4998999899979995,0.8274899041948421,1.3397056595989996,-13.0,-4.500000000000001,1.5,13.838352503098047,1
19.73,42.23,101509.65,-15.36,0.06,-6.31,96.62,-1.37,-2.12,-5.12,1.63,-3.32,14.39,14.857705071780098,5.708388564209693,-0.2253557004272717,-0.1127923406989673,89.99999999999999,-175.49999999999997,717.5,744.1145745112105,1
0.0,0.0,0.0,0.0,359.56,-6.87,94.37,40.0,-14.63,4.37,-6.58,0.05,-2.3,6.970573864467688,42.81511181814197,0.0071730720812158,1.9070649173617216,-410.50000000000006,168.49999999999997,-834.5,945.1416560495046,1
