temperature,humidity,pressure,altitude,absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2],acceleration_magnitude,angular_velocity_magnitude,pitch,roll,jerk[0],jerk[1],jerk[2],jerk_magnitude,fall
0.0,0.0,0.0,0.0,0.5,-7.19,101.0,-1.81,11.56,3.87,4.35,-0.52,-0.32,4.392641574269405,12.324228170559,-0.1186580425332986,-1.64422727744431,217.0,-30.0,-18.0,219.8021837926093,0
181.35,0.0,0.0,0.0,0.81,-7.19,101.0,-0.06,4.37,1.31,1.67,1.03,0.02,1.96219265109214,4.562521232827306,0.5526246129748548,-1.5588208513992163,-133.99999999999997,77.5,17.0,155.72812848037438,0
181.35,0.0,0.0,0.0,1.06,-7.19,100.94,-1.75,3.44,-0.25,-0.93,0.38,-0.01,1.0046890066085128,3.8676349362368727,0.3878797174574079,1.5815486005859978,-130.0,-32.5,-1.5,134.00932803353652,0
181.35,0.0,0.0,0.0,1.25,-7.19,101.0,1.0,4.62,1.44,-0.37,0.19,-0.23,0.4752893855326457,4.941457274934187,0.4112511324131459,2.1269625569153496,28.000000000000004,-9.5,-11.0,31.54758310869472,0
181.35,0.0,0.0,0.0,1.44,-7.19,101.0,-1.19,3.12,1.5,1.1,0.26,0.0,1.1303096920755835,3.660669337703148,0.2321038380751556,-1.5707963267948966,73.50000000000001,3.5000000000000004,11.5,74.47650636274504,0
181.35,0.0,0.0,0.0,1.5,-7.19,101.0,-0.19,0.13,-0.31,-0.44,0.11,-0.06,0.4574931693479149,0.3861346915261565,0.2428198945157163,1.7063240407803977,-77.0,-7.500000000000001,-3.0,77.42254193708703,0
181.35,0.0,0.0,0.0,1.5,-7.19,101.0,-0.25,0.13,-0.13,-0.41,0.22,0.03,0.4662617290749906,0.310322412983658,0.4913742579244393,1.4977557614917774,1.500000000000001,5.5,4.5,7.262919523166976,0
181.35,0.0,0.0,0.0,1.5,-7.19,101.0,0.06,-0.06,0.62,0.78,-0.18,-0.02,0.8007496487667041,0.6257795138864807,-0.2267268570011083,-1.596431735316574,59.49999999999999,-20.0,-2.5,62.82117477411577,0
181.35,0.0,0.0,0.0,1.5,-7.19,101.0,-0.31,-0.62,-0.06,0.36,0.06,0.01,0.3651027252705736,0.6957729514719583,0.1650861503824698,-1.5430256902014756,-21.0,12.0,1.5,24.23324163210527,0
181.35,0.0,0.0,0.0,1.44,-7.19,101.0,-0.56,-0.25,-0.25,-0.24,0.18,0.09,0.3132091952673165,0.662268827591938,0.612232348422086,1.2120256565243244,-30.0,6.0,4.0,30.854497241083024,0
181.35,0.0,0.0,0.0,1.44,-7.19,101.0,-0.06,-0.13,0.0,0.25,-0.04,-0.01,0.2533771891863985,0.1431782106327635,-0.1585306042751436,-1.610775013918187,24.5,-11.0,-4.999999999999999,27.31757675929547,0
181.35,0.0,0.0,0.0,1.44,-7.19,101.0,0.0,-0.37,-0.06,-0.19,-0.04,0.06,0.2032240143290157,0.3748332962798262,-0.1981206904017458,1.2649174553900444,-22.0,0.0,3.5,22.276669409945463,0
181.35,0.0,0.0,0.0,1.44,-7.19,100.94,0.31,-0.19,-0.06,-0.01,-0.02,0.01,0.0244948974278317,0.3685105154537655,-0.9553166181245092,0.7853981633974483,9.0,1.0,-2.5,9.394147114027968,0
181.35,0.0,0.0,0.0,1.44,-7.19,100.94,0.13,0.13,-0.06,0.01,0.03,0.02,0.0374165738677394,0.1933907960581371,0.930274014115472,-0.4636476090008061,1.0,2.5,0.5,2.7386127875258306,0
181.35,0.0,0.0,0.0,1.44,-7.19,100.94,-0.25,0.0,-0.13,0.08,0.09,0.05,0.130384048104053,0.2817800560721074,0.7618600585242893,-1.012197011451334,3.5000000000000004,3.0,1.5,4.847679857416329,0
181.35,0.0,0.0,0.0,1.44,-7.19,100.94,-0.25,0.0,0.0,0.0,-0.18,0.23,0.2920616373302047,0.25,-0.6640461628266846,-0.0,-4.0,-13.5,9.0,16.710774967068403,0
181.35,0.0,0.0,0.0,1.44,-7.19,100.87,0.44,-0.81,0.0,0.12,-0.18,0.16,0.2690724809414742,0.9217917335276988,-0.7328151017865066,-0.6435011087932844,6.0,0.0,-3.5000000000000004,6.946221994724902,0
181.35,0.0,0.0,0.0,1.37,-7.19,100.87,0.13,-0.81,-0.19,-0.16,-0.09,0.08,0.2002498439450078,0.8420807562223472,-0.4661367380552079,1.1071487177940904,-14.000000000000002,4.5,-4.0,15.239750654128173,0
181.35,0.0,0.0,0.0,1.37,-7.19,100.87,0.0,-0.75,-0.37,0.18,-0.31,1.05,1.1095043938624127,0.836301381082203,-0.2831733642660572,-0.1697782739683384,16.999999999999996,-11.0,48.5,52.55711179279166,0
181.35,0.0,0.0,0.0,1.31,-7.25,100.87,-0.13,-1.44,-0.31,-0.06,-0.19,1.46,1.473533168951415,1.4787156589419077,-0.1293017842987326,0.041072778590454,-12.0,6.0,20.5,24.5,0
181.35,0.0,0.0,0.0,1.19,-7.25,100.81,-0.5,-1.94,-0.44,0.07,-0.22,1.71,1.7255144160510512,2.0511460211306263,-0.1278461927150368,-0.0409128297754393,6.5,-1.5,12.5,14.168627315304754,1
181.35,0.0,0.0,0.0,1.19,-7.19,99.94,-0.19,-2.0,-0.25,0.08,-0.32,1.92,1.9481273059017472,2.024499938256359,-0.1650080913797772,-0.0416425790985884,0.4999999999999997,-5.0,10.499999999999998,11.640446726822812,1
181.35,0.0,0.0,0.0,1.06,-7.19,99.94,-0.25,-1.44,-0.25,0.11,-0.44,2.23,2.2756537522215456,1.482767682410161,-0.1945764872034475,-0.0492874049928505,1.5,-6.0,15.500000000000002,16.688319268278637,1
0.0,0.0,0.0,0.0,228.19,-38.0,-103.75,-4.19,5.94,91.12,0.55,-2.51,-3.26,4.150927607174087,91.40948583161378,-0.6493692031764031,-2.9744549186292364,22.000000000000004,-103.5,-274.5,294.18786514742584,1
