temperature,humidity,pressure,altitude,absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2],acceleration_magnitude,angular_velocity_magnitude,pitch,roll,jerk[0],jerk[1],jerk[2],jerk_magnitude
19.58,30.55,101528.34,-16.92,0.0,-7.19,103.06,0.06,-0.31,0.06,0.01,0.2,0.02,0.2012461179749811,0.32140317359976395,1.4594553124539327,-0.4636476090008061,0.0,0.0,0.0,0.0
19.58,30.55,101528.34,-16.92,0.0,-7.19,103.06,0.0,-0.06,-0.06,0.04,0.19,0.05,0.20049937655763422,0.08485281374238571,1.2457435384190325,-0.6747409422235526,1.5,-0.5000000000000004,1.5,2.179449471770337
19.58,30.55,101525.85,-16.71,0.0,-7.19,103.06,-0.13,0.0,-0.06,0.02,0.23,0.0,0.2308679276123039,0.14317821063276354,1.4840579881189115,-1.5707963267948966,-1.0,2.0000000000000004,-2.5,3.3541019662496847
19.58,30.55,101525.85,-16.71,0.0,-7.19,103.06,0.06,0.13,-0.06,0.01,0.05,0.0,0.050990195135927854,0.15524174696260024,1.373400766945016,-1.5707963267948966,-0.5,-9.0,0.0,9.013878188659973
19.59,30.55,101526.55,-16.77,0.0,-7.19,103.06,0.06,-0.06,-0.06,0.01,0.0,-0.01,0.01414213562373095,0.10392304845413264,0.0,-2.356194490192345,0.0,-2.5,-0.5,2.5495097567963922
19.59,30.55,101526.55,-16.77,0.0,-7.19,103.06,0.13,0.06,0.06,-0.01,0.0,-0.03,0.03162277660168379,0.15524174696260024,0.0,2.819842099193151,-1.0,0.0,-0.9999999999999998,1.414213562373095
19.59,30.55,101526.61,-16.77,0.0,-7.19,103.06,0.13,-0.06,0.0,0.0,0.0,-0.01,0.01,0.14317821063276354,0.0,-3.141592653589793,0.5,0.0,0.9999999999999998,1.1180339887498947
19.59,30.55,101526.61,-16.77,0.0,-7.19,103.06,-0.13,0.0,0.0,0.0,0.01,0.0,0.01,0.13,1.5707963267948966,-0.0,0.0,0.5,0.5,0.7071067811865476
19.59,30.54,101527.87,-16.88,0.0,-7.19,103.06,0.13,0.0,0.06,-0.01,0.04,0.0,0.04123105625617661,0.14317821063276354,1.3258176636680326,1.5707963267948966,-0.5,1.5,0.0,1.5811388300841898
19.6,30.51,101528.33,-16.91,0.0,-7.19,103.06,0.06,0.19,0.06,0.0,0.03,0.02,0.03605551275463989,0.2080865204668481,0.982793723247329,-0.0,0.5,-0.5000000000000001,1.0,1.224744871391589
19.6,30.51,101528.33,-16.91,0.0,-7.19,103.06,-0.06,-0.06,0.06,0.01,0.0,0.05,0.050990195135927854,0.10392304845413264,0.0,-0.19739555984988075,0.5,-1.5,1.5,2.179449471770337
19.6,30.54,101526.16,-16.73,0.0,-7.19,103.06,0.13,0.13,-0.13,0.0,-0.04,-0.01,0.04123105625617661,0.22516660498395408,-1.3258176636680326,-3.141592653589793,-0.5,-2.0,-3.0,3.640054944640259
19.6,30.54,101526.16,-16.73,0.0,-7.19,103.06,0.0,-0.06,0.06,0.0,-0.03,-0.02,0.03605551275463989,0.08485281374238571,-0.982793723247329,-3.141592653589793,0.0,0.5000000000000001,-0.5,0.7071067811865476
19.6,30.5,101528.48,-16.93,0.0,-7.19,103.06,-0.06,-0.25,0.0,0.01,0.04,0.0,0.04123105625617661,0.2570992026436488,1.3258176636680326,-1.5707963267948966,0.5,3.5000000000000004,1.0,3.6742346141747677
19.6,30.5,101528.48,-16.93,0.0,-7.19,103.06,-0.06,-0.06,0.19,0.01,0.04,0.0,0.04123105625617661,0.2080865204668481,1.3258176636680326,-1.5707963267948966,0.0,0.0,0.0,0.0
19.59,30.53,101527.73,-16.87,0.0,-7.19,103.06,0.13,0.0,0.0,-0.02,0.02,0.0,0.0282842712474619,0.13,0.7853981633974483,1.5707963267948966,-1.5,-1.0,0.0,1.8027756377319946
19.59,30.53,101527.73,-16.87,0.0,-7.19,103.06,-0.19,0.0,0.0,-0.01,0.0,-0.02,0.022360679774997897,0.19,0.0,2.677945044588987,0.5,-1.0,-1.0,1.5
19.6,30.5,101527.98,-16.89,0.0,-7.19,103.06,0.0,0.06,-0.06,0.03,-0.01,0.0,0.03162277660168379,0.08485281374238571,-0.3217505543966422,-1.5707963267948966,2.0,-0.5,1.0,2.29128784747792
19.6,30.5,101527.98,-16.89,0.0,-7.19,103.06,-0.25,-0.19,0.06,0.0,0.01,-0.01,0.01414213562373095,0.3196873472629156,0.7853981633974483,-3.141592653589793,-1.5,1.0,-0.5,1.8708286933869707
19.6,30.51,101527.16,-16.82,0.0,-7.19,103.06,-0.06,0.0,0.0,0.02,0.02,0.0,0.0282842712474619,0.06,0.7853981633974483,-1.5707963267948966,1.0,0.5,0.5,1.224744871391589
19.61,30.46,101527.38,-16.84,359.94,-7.19,103.06,-0.13,-0.06,0.0,-0.01,0.01,0.0,0.01414213562373095,0.14317821063276354,0.7853981633974483,1.5707963267948966,-1.5,-0.5,0.0,1.5811388300841898
19.61,30.45,101529.3,-17.0,359.94,-7.19,103.06,0.13,-0.13,-0.06,-0.05,-0.01,-0.06,0.07874007874011811,0.19339079605813717,-0.127344027134682,2.44685437739309,-2.0,-1.0,-3.0,3.7416573867739413
19.61,30.45,101529.3,-17.0,359.94,-7.19,103.06,0.0,0.0,0.06,0.0,-0.02,-0.03,0.03605551275463989,0.06,-0.5880026035475676,-3.141592653589793,2.5,-0.5,1.5,2.958039891549808
19.61,30.45,101527.97,-16.88,359.94,-7.19,103.06,0.06,0.13,0.06,0.02,0.0,-0.02,0.0282842712474619,0.15524174696260024,0.0,-2.356194490192345,1.0,1.0,0.4999999999999999,1.5
19.61,30.45,101527.97,-16.88,359.94,-7.19,103.06,-0.06,0.0,0.19,0.0,0.01,0.0,0.01,0.19924858845171275,1.5707963267948966,-0.0,-1.0,0.5,1.0,1.5
19.61,30.44,101527.57,-16.85,359.94,-7.19,103.06,-0.13,0.13,-0.25,0.03,0.0,0.0,0.03,0.31032241298365804,0.0,-1.5707963267948966,1.5,-0.5,0.0,1.5811388300841898
19.61,30.44,101527.57,-16.85,359.94,-7.19,103.06,0.06,0.0,0.06,-0.06,0.0,0.03,0.0670820393249937,0.08485281374238571,0.0,1.1071487177940904,-4.5,0.0,1.5,4.743416490252569
19.62,30.44,101528.46,-16.93,359.94,-7.19,103.06,0.0,0.25,0.0,0.0,-0.04,-0.01,0.04123105625617661,0.25,-1.3258176636680326,-3.141592653589793,3.0,-2.0,-2.0,4.123105625617661
19.62,30.44,101528.46,-16.93,359.94,-7.19,103.06,0.06,0.25,0.06,0.04,0.02,0.0,0.044721359549995794,0.2640075756488817,0.4636476090008061,-1.5707963267948966,2.0,3.0,0.5,3.640054944640259
19.62,30.43,101527.3,-16.83,359.94,-7.19,103.06,0.06,-0.13,-0.13,0.03,0.01,-0.02,0.03741657386773942,0.19339079605813717,0.2705497629785729,-2.1587989303424644,-0.5000000000000001,-0.5,-1.0,1.224744871391589
19.62,30.43,101527.3,-16.83,359.94,-7.19,103.06,-0.19,-0.56,-0.06,0.04,0.02,-0.03,0.053851648071345036,0.5943904440685432,0.3805063771123649,-2.214297435588181,0.5000000000000001,0.5,-0.4999999999999999,0.8660254037844386
