absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2],acceleration_magnitude,angular_velocity_magnitude,pitch,roll,jerk[0],jerk[1],jerk[2],jerk_magnitude
0.0,-7.19,103.06,0.06,-0.31,0.06,0.01,0.2,0.02,0.2012461179749811,0.3214031735997639,1.459455312453933,-0.4636476090008061,0.0,0.0,0.0,0.0
0.0,-7.19,103.06,0.0,-0.06,-0.06,0.04,0.19,0.05,0.2004993765576342,0.0848528137423857,1.2457435384190323,-0.6747409422235526,1.5,-0.5000000000000004,1.5,2.179449471770337
0.0,-7.19,103.06,-0.13,0.0,-0.06,0.02,0.23,0.0,0.2308679276123039,0.1431782106327635,1.4840579881189115,-1.5707963267948966,-1.0,2.0000000000000004,-2.5,3.3541019662496847
0.0,-7.19,103.06,0.06,0.13,-0.06,0.01,0.05,0.0,0.0509901951359278,0.1552417469626002,1.373400766945016,-1.5707963267948966,-0.5,-9.0,0.0,9.013878188659971
0.0,-7.19,103.06,0.06,-0.06,-0.06,0.01,0.0,-0.01,0.0141421356237309,0.1039230484541326,0.0,-2.356194490192345,0.0,-2.5,-0.5,2.549509756796392
0.0,-7.19,103.06,0.13,0.06,0.06,-0.01,0.0,-0.03,0.0316227766016837,0.1552417469626002,0.0,2.819842099193151,-1.0,0.0,-0.9999999999999998,1.414213562373095
0.0,-7.19,103.06,0.13,-0.06,0.0,0.0,0.0,-0.01,0.01,0.1431782106327635,0.0,-3.141592653589793,0.5,0.0,0.9999999999999998,1.118033988749895
0.0,-7.19,103.06,-0.13,0.0,0.0,0.0,0.01,0.0,0.01,0.13,1.5707963267948966,-0.0,0.0,0.5,0.5,0.7071067811865476
0.0,-7.19,103.06,0.13,0.0,0.06,-0.01,0.04,0.0,0.0412310562561766,0.1431782106327635,1.3258176636680326,1.5707963267948966,-0.5,1.5,0.0,1.5811388300841898
0.0,-7.19,103.06,0.06,0.19,0.06,0.0,0.03,0.02,0.0360555127546398,0.2080865204668481,0.982793723247329,-0.0,0.5,-0.5000000000000001,1.0,1.224744871391589
0.0,-7.19,103.06,-0.06,-0.06,0.06,0.01,0.0,0.05,0.0509901951359278,0.1039230484541326,0.0,-0.1973955598498807,0.5,-1.5,1.5,2.179449471770337
0.0,-7.19,103.06,0.13,0.13,-0.13,0.0,-0.04,-0.01,0.0412310562561766,0.225166604983954,-1.3258176636680326,-3.141592653589793,-0.5,-2.0,-3.0,3.640054944640259
0.0,-7.19,103.06,0.0,-0.06,0.06,0.0,-0.03,-0.02,0.0360555127546398,0.0848528137423857,-0.982793723247329,-3.141592653589793,0.0,0.5000000000000001,-0.5,0.7071067811865476
0.0,-7.19,103.06,-0.06,-0.25,0.0,0.01,0.04,0.0,0.0412310562561766,0.2570992026436488,1.3258176636680326,-1.5707963267948966,0.5,3.5000000000000004,1.0,3.674234614174768
0.0,-7.19,103.06,-0.06,-0.06,0.19,0.01,0.04,0.0,0.0412310562561766,0.2080865204668481,1.3258176636680326,-1.5707963267948966,0.0,0.0,0.0,0.0
0.0,-7.19,103.06,0.13,0.0,0.0,-0.02,0.02,0.0,0.0282842712474619,0.13,0.7853981633974483,1.5707963267948966,-1.5,-1.0,0.0,1.8027756377319943
0.0,-7.19,103.06,-0.19,0.0,0.0,-0.01,0.0,-0.02,0.0223606797749978,0.19,0.0,2.677945044588987,0.5,-1.0,-1.0,1.5
0.0,-7.19,103.06,0.0,0.06,-0.06,0.03,-0.01,0.0,0.0316227766016837,0.0848528137423857,-0.3217505543966422,-1.5707963267948966,2.0,-0.5,1.0,2.29128784747792
0.0,-7.19,103.06,-0.25,-0.19,0.06,0.0,0.01,-0.01,0.0141421356237309,0.3196873472629156,0.7853981633974483,-3.141592653589793,-1.5,1.0,-0.5,1.8708286933869709
0.0,-7.19,103.06,-0.06,0.0,0.0,0.02,0.02,0.0,0.0282842712474619,0.06,0.7853981633974483,-1.5707963267948966,1.0,0.5,0.5,1.224744871391589
359.94,-7.19,103.06,-0.13,-0.06,0.0,-0.01,0.01,0.0,0.0141421356237309,0.1431782106327635,0.7853981633974483,1.5707963267948966,-1.5,-0.5,0.0,1.5811388300841898
359.94,-7.19,103.06,0.13,-0.13,-0.06,-0.05,-0.01,-0.06,0.0787400787401181,0.1933907960581371,-0.127344027134682,2.44685437739309,-2.0,-1.0,-3.0,3.741657386773941
359.94,-7.19,103.06,0.0,0.0,0.06,0.0,-0.02,-0.03,0.0360555127546398,0.06,-0.5880026035475676,-3.141592653589793,2.5,-0.5,1.5,2.958039891549808
359.94,-7.19,103.06,0.06,0.13,0.06,0.02,0.0,-0.02,0.0282842712474619,0.1552417469626002,0.0,-2.356194490192345,1.0,1.0,0.4999999999999999,1.5
359.94,-7.19,103.06,-0.06,0.0,0.19,0.0,0.01,0.0,0.01,0.1992485884517127,1.5707963267948966,-0.0,-1.0,0.5,1.0,1.5
359.94,-7.19,103.06,-0.13,0.13,-0.25,0.03,0.0,0.0,0.03,0.310322412983658,0.0,-1.5707963267948966,1.5,-0.5,0.0,1.5811388300841898
359.94,-7.19,103.06,0.06,0.0,0.06,-0.06,0.0,0.03,0.0670820393249937,0.0848528137423857,0.0,1.1071487177940904,-4.5,0.0,1.5,4.743416490252569
359.94,-7.19,103.06,0.0,0.25,0.0,0.0,-0.04,-0.01,0.0412310562561766,0.25,-1.3258176636680326,-3.141592653589793,3.0,-2.0,-2.0,4.123105625617661
359.94,-7.19,103.06,0.06,0.25,0.06,0.04,0.02,0.0,0.0447213595499957,0.2640075756488817,0.4636476090008061,-1.5707963267948966,2.0,3.0,0.5,3.640054944640259
359.94,-7.19,103.06,0.06,-0.13,-0.13,0.03,0.01,-0.02,0.0374165738677394,0.1933907960581371,0.2705497629785729,-2.1587989303424644,-0.5000000000000001,-0.5,-1.0,1.224744871391589
359.94,-7.19,103.06,-0.19,-0.56,-0.06,0.04,0.02,-0.03,0.053851648071345,0.5943904440685432,0.3805063771123649,-2.214297435588181,0.5000000000000001,0.5,-0.4999999999999999,0.8660254037844386
359.94,-7.19,103.06,-0.13,-0.25,0.0,-0.01,0.0,-0.04,0.0412310562561766,0.2817800560721074,0.0,2.896613990462929,-2.5,-1.0,-0.5000000000000001,2.7386127875258306
359.87,-7.37,102.87,0.0,0.06,-0.06,0.0,-0.04,0.08,0.0894427190999915,0.0848528137423857,-0.4636476090008061,-0.0,0.5,-2.0,6.0,6.34428877022476
359.87,-7.37,102.87,-0.06,-0.25,-0.25,0.0,-0.06,0.05,0.0781024967590665,0.3586084215408221,-0.8760580505981934,-0.0,0.0,-0.9999999999999998,-1.5,1.8027756377319943
359.87,-7.37,102.87,-0.13,-0.62,-0.31,0.0,0.0,0.05,0.05,0.7052659073002183,0.0,-0.0,0.0,3.0,0.0,3.0
359.87,-7.37,102.87,0.13,-0.19,-0.13,-0.01,-0.03,-0.01,0.033166247903554,0.2643860813280457,-1.130285663790198,2.356194490192345,-0.5,-1.5,-3.0,3.391164991562634
359.87,-7.37,102.87,-0.06,-0.19,-0.13,0.0,-0.02,-0.02,0.0282842712474619,0.2379075450674063,-0.7853981633974483,-3.141592653589793,0.5,0.4999999999999999,-0.5,0.8660254037844386
359.87,-7.37,102.87,0.06,-0.06,-0.06,-0.01,0.03,-0.08,0.0860232526704262,0.1039230484541326,0.3562294761518725,3.017237659043032,-0.5,2.5,-3.0,3.9370039370059056
359.87,-7.37,102.87,-0.19,-0.19,-0.13,0.0,-0.05,-0.03,0.058309518948453,0.298496231131986,-1.0303768265243125,-3.141592653589793,0.5,-4.0,2.5,4.743416490252569
359.87,-7.37,102.87,-0.25,-0.25,-0.06,0.02,-0.02,-0.01,0.03,0.3586084215408221,-0.7297276562269663,-2.0344439357957027,1.0,1.5,0.9999999999999998,2.0615528128088303
359.87,-7.37,102.87,-0.13,-0.25,-0.13,0.04,-0.02,0.01,0.0458257569495584,0.310322412983658,-0.4516334410795318,-1.3258176636680326,1.0,0.0,1.0,1.4142135623730951
359.87,-7.37,102.87,-0.37,-0.06,0.0,-0.03,-0.05,-0.03,0.06557438524302,0.3748332962798262,-0.8671573754901614,2.356194490192345,-3.5000000000000004,-1.5,-2.0,4.301162633521314
359.87,-7.37,102.87,-0.13,0.13,-0.13,-0.02,-0.02,0.02,0.0346410161513775,0.225166604983954,-0.6154797086703874,0.7853981633974483,0.4999999999999999,1.5,2.5,2.958039891549808
359.87,-7.37,102.87,-0.19,0.13,-0.06,0.0,-0.02,0.03,0.0360555127546398,0.2379075450674063,-0.5880026035475676,-0.0,1.0,0.0,0.4999999999999999,1.118033988749895
354.75,-3.06,37.63,170.06,-27.44,15.06,0.03,-0.82,0.08,0.8244392033376384,172.916629622486,-1.466975791397098,-0.3587706702705722,1.5,-39.99999999999999,2.5,40.106109260310944
353.69,-2.37,29.75,150.94,-28.25,24.19,0.91,-1.39,1.93,2.546585949855217,155.45450202551228,-0.5773779617816194,-0.4405908989644074,44.0,-28.5,92.5,106.32262224004825
352.19,-1.75,22.5,139.5,-21.87,30.19,1.59,1.3,0.82,2.2114474897677314,144.39523191573883,0.6283988971623201,-1.094649368774729,34.0,134.5,-55.49999999999999,149.42054744913767
350.75,-1.25,15.56,149.87,-16.37,22.37,1.73,2.62,1.33,3.409721396243394,152.4119768915816,0.8763235558419977,-0.9153801082018592,6.999999999999995,66.0,25.500000000000007,71.10028129339574
