temperature,humidity,pressure,altitude,absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2]
19.78,31.12,101517.24,-15.99,359.94,-6.19,90.37,0.0,-0.25,-0.13,0.01,0.17,0.01
19.78,31.08,101519.16,-16.15,359.94,-6.19,90.37,-0.19,0.19,0.13,0.0,0.22,0.04
19.78,31.08,101519.16,-16.15,359.94,-6.19,90.37,-0.13,0.06,0.06,0.0,0.21,0.0
19.78,31.14,101516.51,-15.93,359.94,-6.19,90.37,0.0,0.13,-0.06,0.03,0.2,0.03
19.78,31.14,101516.51,-16.14,359.94,-6.19,90.37,0.06,0.19,0.0,0.02,0.21,-0.06
19.78,31.12,101519.0,-16.14,359.94,-6.19,90.37,0.13,-0.06,0.0,0.0,0.17,-0.09
19.78,31.16,101518.21,-16.07,359.94,-6.19,90.37,0.13,0.0,0.06,0.0,0.21,-0.03
19.78,31.16,101518.21,-16.07,359.94,-6.19,90.37,0.06,0.06,0.0,-0.03,0.21,-0.02
19.79,31.17,101517.59,-16.02,359.94,-6.19,90.37,0.0,0.06,-0.06,0.01,0.19,0.04
19.79,31.35,101514.2,-15.74,359.94,-6.19,90.37,0.0,-0.19,0.0,0.02,0.21,-0.01
19.79,31.34,101512.78,-15.62,359.94,-6.19,90.37,0.0,0.06,0.0,0.01,0.2,0.0
19.79,31.34,101512.78,-15.9,359.94,-6.19,90.37,0.13,0.0,0.19,-0.01,0.18,0.01
19.79,31.38,101516.13,-15.9,359.94,-6.19,90.37,0.06,0.13,0.0,0.02,0.2,-0.01
19.79,31.38,101516.2,-15.91,359.94,-6.19,90.37,-0.06,-0.13,0.0,0.03,0.19,0.01
19.79,31.38,101516.2,-15.91,359.94,-6.19,90.37,-0.06,-0.13,-0.06,-0.01,0.22,-0.02
19.79,31.39,101514.44,-15.76,359.94,-6.19,90.37,-0.19,-0.13,0.06,0.0,0.19,-0.01
19.79,31.39,101514.44,-15.76,359.94,-6.19,90.37,0.0,0.19,0.06,0.0,0.2,-0.01
19.79,31.41,101515.37,-15.84,359.94,-6.19,90.37,0.06,0.19,0.06,0.0,0.17,0.0
19.79,31.41,101515.37,-15.84,359.94,-6.19,90.37,0.06,0.19,0.06,0.0,0.23,0.01
19.79,31.42,101518.13,-16.07,359.94,-6.19,90.37,0.0,0.13,0.06,0.0,0.21,0.03
19.79,31.42,101518.13,-16.07,359.94,-6.19,90.37,0.0,0.0,-0.06,0.05,0.2,-0.01
19.8,31.81,101515.25,-15.83,0.0,-6.19,90.37,-0.06,0.25,0.0,-0.22,0.29,-0.06
19.8,31.81,101515.25,-15.83,0.0,-6.25,90.37,0.25,0.56,0.06,0.09,0.25,-0.05
19.8,31.79,101515.58,-15.86,0.0,-6.25,90.37,0.25,-0.56,0.13,0.02,0.3,-0.08
19.8,31.79,101515.58,-15.86,0.0,-6.19,90.37,0.94,-1.5,-2.69,-15.53,6.96,0.14
19.81,31.79,101517.09,-15.98,359.31,-6.56,89.69,-1.12,-10.75,-4.69,0.19,0.97,1.78
19.81,31.79,101517.09,-15.98,359.06,-6.5,89.75,8.5,-4.06,1.5,-0.58,-0.41,-0.89
19.81,31.75,101515.01,-15.81,359.12,-6.5,89.75,0.5,0.37,-0.25,0.68,0.03,0.89
19.81,31.75,101515.01,-15.81,359.12,-6.5,89.75,-1.0,2.37,-0.13,-0.35,0.49,0.94
19.81,31.75,101515.84,-15.88,359.25,-6.5,89.75,1.0,3.25,0.19,0.75,0.0,0.51
19.81,31.79,101514.78,-15.79,359.44,-6.5,89.75,0.75,3.0,0.13,-0.49,0.0,-0.68
19.8,31.78,101514.78,-15.79,359.56,-6.5,89.75,-0.19,2.81,0.06,0.15,0.14,-0.18
19.81,31.48,101516.45,-15.93,1.87,-6.62,89.5,2.75,-1.56,0.0,-0.16,0.0,-0.42
19.81,31.48,101516.45,-15.93,1.75,-6.62,89.56,0.62,-1.19,1.06,0.1,0.32,-1.42
19.81,31.46,101515.03,-15.81,1.81,-6.62,89.62,-2.81,3.12,-1.06,-0.54,0.25,-0.09
19.81,31.46,101515.03,-15.81,2.06,-6.62,89.75,0.62,6.75,-0.19,0.16,1.01,1.52
19.82,31.44,101514.89,-15.8,2.56,-6.62,89.75,2.31,10.44,0.06,-0.1,0.06,1.71
19.82,31.44,101514.89,-15.8,3.25,-6.56,89.75,3.81,15.19,-1.12,0.27,0.01,-2.05
19.81,31.41,101516.29,-15.91,4.25,-6.5,89.81,2.19,19.87,-0.81,1.44,0.5,-2.54
19.81,31.41,101516.29,-15.91,5.06,-6.5,89.87,0.69,17.12,0.62,-0.81,-0.65,-3.95
19.81,31.41,101515.95,-15.89,5.87,-6.44,89.94,-1.69,13.31,-1.75,0.39,-0.54,-3.12
19.81,31.41,101515.95,-15.89,6.5,-6.37,90.25,1.25,9.44,2.69,0.18,2.38,1.48
19.82,31.36,101516.05,-15.89,6.62,-6.37,90.25,-13.75,0.75,-2.62,1.49,1.32,2.46
0.0,0.0,0.0,0.0,358.87,-4.44,57.69,-0.06,2.12,-1.37,-0.06,0.18,-0.11
0.0,0.0,0.0,0.0,359.06,-4.44,57.75,-0.31,4.06,-2.81,-0.39,0.24,-0.27
0.0,0.0,0.0,0.0,359.31,-4.5,57.75,1.81,2.87,-2.94,0.33,-0.03,0.03
0.0,0.0,0.0,0.0,359.37,-4.44,57.69,1.19,-1.69,0.31,-0.2,-0.28,-0.88
