temperature,humidity,pressure,altitude,absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2],acceleration_magnitude,angular_velocity_magnitude,pitch,roll,jerk[0],jerk[1],jerk[2],jerk_magnitude
181.35,0.0,0.0,0.0,359.81,-6.25,86.87,0.19,0.0,0.0,0.0,0.16,-0.02,0.161245154965971,0.19,1.446441332248135,-3.141592653589793,0.0,0.0,0.0,0.0
181.35,0.0,0.0,0.0,359.81,-6.25,86.87,-0.06,0.0,0.06,-0.04,0.18,0.01,0.18466185312619388,0.08485281374238571,1.3456195415918228,1.3258176636680326,-2.0,0.9999999999999994,1.5,2.692582403567252
181.35,0.0,0.0,0.0,359.81,-6.25,86.87,0.06,-0.19,-0.06,0.01,0.18,0.01,0.18055470085267789,0.2080865204668481,1.4923899719029439,-0.7853981633974483,2.5,0.0,0.0,2.5
181.35,0.0,0.0,0.0,359.81,-6.25,86.87,0.37,0.06,-0.06,-0.04,0.18,-0.05,0.191049731745428,0.37960505792204613,1.2290267557204957,2.4668517113662407,-2.5,0.0,-3.0,3.905124837953327
181.35,0.0,0.0,0.0,359.81,-6.25,86.87,-0.19,-0.44,0.0,-0.13,0.22,0.0,0.25553864678361277,0.47927027865287036,1.0370881351556351,1.5707963267948966,-4.5,2.0000000000000004,2.5,5.522680508593631
181.35,0.0,0.0,0.0,359.81,-6.25,86.87,-0.06,0.13,-0.06,0.01,0.2,-0.02,0.2012461179749811,0.15524174696260024,1.4594553124539327,-2.677945044588987,7.000000000000001,-0.9999999999999994,-1.0,7.141428428542851
181.35,0.0,0.0,0.0,359.81,-6.25,86.87,-0.06,0.06,-0.06,-0.05,0.16,-0.01,0.16792855623746664,0.10392304845413264,1.262283312484531,1.7681918866447774,-3.0,-2.0000000000000004,0.5,3.6400549446402595
181.35,0.0,0.0,0.0,359.81,-6.25,86.87,0.0,0.31,-0.13,0.0,0.14,-0.11,0.17804493814764857,0.3361547262794322,0.9048270894157868,-3.141592653589793,2.5,-0.9999999999999994,-5.0,5.678908345800274
181.35,0.0,0.0,0.0,359.81,-6.25,86.87,0.13,0.06,-0.06,0.04,0.11,-0.09,0.147648230602334,0.15524174696260024,0.8405558402538734,-2.723368324010564,2.0,-1.5000000000000007,1.0000000000000002,2.6925824035672523
181.35,0.0,0.0,0.0,1.62,-6.25,83.75,0.31,0.75,-0.06,-0.08,-0.15,2.27,2.276356738299162,0.8137567204023571,-0.06594254896184645,0.035227711080049844,-6.0,-13.0,117.99999999999999,118.86547017532045
