temperature,humidity,pressure,altitude,absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2],acceleration_magnitude,angular_velocity_magnitude,pitch,roll,jerk[0],jerk[1],jerk[2],jerk_magnitude
19.67,33.5,101565.89,-20.04,359.94,-6.87,91.56,0.06,0.0,0.06,0.01,0.18,-0.01,0.18055470085267789,0.08485281374238571,1.4923899719029439,-2.356194490192345,0.0,0.0,0.0,0.0
19.68,33.56,101565.41,-20.0,359.94,-6.87,91.56,-0.06,0.31,-0.06,0.0,0.17,-0.03,0.1726267650163207,0.32140317359976395,1.396124127786657,-3.141592653589793,-0.5,-0.49999999999999906,-0.9999999999999998,1.2247448713915885
19.68,33.56,101565.41,-20.0,359.94,-6.87,91.56,0.19,0.06,-0.06,0.0,0.19,0.0,0.19,0.2080865204668481,1.5707963267948966,-0.0,0.0,0.9999999999999994,1.5,1.8027756377319943
19.68,33.61,101566.24,-20.07,359.94,-6.87,91.56,0.0,-0.06,-0.13,0.01,0.19,0.0,0.1902629759044045,0.14317821063276354,1.5182132651839548,-1.5707963267948966,0.5,0.0,0.0,0.5
19.68,33.61,101566.24,-20.07,359.94,-6.87,91.56,0.0,0.13,0.0,0.02,0.19,0.0,0.191049731745428,0.13,1.4659193880646628,-1.5707963267948966,0.5,0.0,0.0,0.5
19.67,33.66,101563.83,-19.87,359.94,-6.87,91.56,-0.06,0.0,-0.06,0.02,0.19,-0.01,0.19131126469708992,0.08485281374238571,1.4536474089856557,-2.0344439357957027,0.0,0.0,-0.5,0.5
19.67,33.66,101563.83,-19.87,359.94,-6.87,91.56,-0.06,0.0,0.0,0.01,0.16,-0.02,0.16155494421403513,0.06,1.4319414207133494,-2.677945044588987,-0.5,-1.5,-0.5,1.6583123951777
19.68,33.72,101564.75,-19.94,359.94,-6.87,91.56,0.0,0.25,-0.06,0.03,0.19,-0.01,0.19261360284258222,0.2570992026436488,1.4058724148856199,-1.892546881191539,0.9999999999999998,1.5,0.5,1.8708286933869707
19.68,33.78,101565.58,-20.01,359.94,-6.87,91.56,-0.13,-0.13,0.0,0.01,0.17,-0.01,0.17058722109231983,0.18384776310850237,1.4877984016952643,-2.356194490192345,-0.9999999999999998,-0.9999999999999994,0.0,1.4142135623730945
19.69,34.13,101563.8,-19.86,359.94,-6.87,91.56,-0.06,-0.19,0.06,-0.01,0.18,0.0,0.18027756377319948,0.2080865204668481,1.5152978215491797,1.5707963267948966,-1.0,0.49999999999999906,0.5,1.2247448713915887
19.69,34.14,101562.24,-19.73,359.94,-6.87,91.56,-0.06,0.0,0.06,0.03,0.18,-0.01,0.18275666882497066,0.08485281374238571,1.3968889132067546,-1.892546881191539,2.0,0.0,-0.5,2.0615528128088303
19.69,34.14,101562.24,-19.73,359.94,-6.87,91.56,0.06,0.0,0.0,0.0,0.17,-0.01,0.17029386365926402,0.06,1.512040504079174,-3.141592653589793,-1.5,-0.49999999999999906,0.0,1.5811388300841893
19.69,34.14,101564.56,-19.93,359.94,-6.87,91.56,-0.06,0.0,-0.13,0.03,0.18,0.0,0.18248287590894657,0.14317821063276354,1.4056476493802699,-1.5707963267948966,1.5,0.49999999999999906,0.5,1.6583123951776997
19.69,34.14,101564.56,-19.93,359.94,-6.87,91.56,-0.13,0.0,0.13,-0.01,0.19,-0.01,0.19052558883257653,0.18384776310850237,1.4965010346797842,2.356194490192345,-2.0,0.5000000000000004,-0.5,2.1213203435596424
19.69,34.14,101564.64,-19.93,359.94,-6.87,91.56,-0.19,-0.13,0.06,0.02,0.2,0.0,0.2009975124224178,0.23790754506740638,1.4711276743037347,-1.5707963267948966,1.5,0.5000000000000004,0.5,1.6583123951777001
