temperature,humidity,pressure,altitude,absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2],acceleration_magnitude,angular_velocity_magnitude,pitch,roll,jerk[0],jerk[1],jerk[2],jerk_magnitude
20.18,31.06,101520.72,-16.28,0.0,-6.5,92.37,0.06,0.0,0.13,0.0,0.3,0.01,0.30016662039607267,0.14317821063276354,1.5374753309166493,-0.0,0.0,0.0,0.0,0.0
20.18,31.07,101523.7,-16.53,0.0,-6.5,92.37,0.0,0.19,-0.06,0.06,0.2,0.01,0.20904544960366875,0.19924858845171275,1.275547423132556,-1.4056476493802699,3.0,-4.999999999999999,0.0,5.8309518948453
20.18,31.07,101523.7,-16.53,0.0,-6.5,92.37,0.0,-0.06,-0.13,0.01,0.14,0.04,0.14594519519326427,0.14317821063276354,1.284386068141142,-0.24497866312686414,-2.4999999999999996,-3.0,1.5,4.183300132670378
20.18,31.13,101523.8,-16.54,0.0,-6.5,92.37,0.13,-0.13,0.0,0.03,0.15,0.0,0.15297058540778355,0.18384776310850237,1.373400766945016,-1.5707963267948966,0.9999999999999998,0.49999999999999906,-2.0,2.2912878474779195
20.18,31.13,101523.8,-16.54,0.0,-6.5,92.37,0.19,-0.06,-0.06,0.01,0.14,-0.02,0.14177446878757827,0.2080865204668481,1.4124149248362254,-2.677945044588987,-0.9999999999999998,-0.49999999999999906,-1.0,1.4999999999999996
20.18,31.17,101519.05,-16.14,0.0,-6.5,92.37,0.25,-0.06,0.13,0.02,0.23,-0.02,0.23173260452512934,0.28809720581775866,1.4484355818055477,-2.356194490192345,0.5,4.5,0.0,4.527692569068709
20.18,31.17,101519.05,-16.14,0.0,-6.5,92.37,-0.06,-0.13,0.0,0.01,0.31,0.01,0.31032241298365804,0.14317821063276354,1.5252081424460442,-0.7853981633974483,-0.5,3.999999999999999,1.5,4.3011626335213125
20.18,31.14,101523.14,-16.48,0.0,-6.5,92.37,0.0,0.25,0.06,0.03,0.17,0.02,0.17378147196982768,0.2570992026436488,1.3618020547419056,-0.982793723247329,0.9999999999999998,-6.999999999999999,0.5,7.088723439378912
20.18,31.14,101523.14,-16.22,0.0,-6.5,92.37,-0.06,0.0,0.0,0.03,0.1,0.0,0.1044030650891055,0.06,1.2793395323170296,-1.5707963267948966,0.0,-3.5000000000000004,-1.0,3.6400549446402595
0.0,0.0,0.0,0.0,359.5,-6.69,92.0,0.69,-1.56,0.0,-1.65,0.12,0.04,1.654841382127,1.70578427709954,0.07257820477155537,1.5465586499301593,-84.0,0.9999999999999994,2.0,84.02975663418287
0.0,0.0,0.0,0.0,359.5,-6.69,92.06,0.5,1.06,1.06,0.77,0.04,-0.11,0.7788452991448301,1.5802531442778402,0.051380685353468514,-1.7126933813990606,121.0,-3.999999999999999,-7.5,121.2981863013623
0.0,0.0,0.0,0.0,359.5,-6.69,92.06,0.06,-0.06,-0.25,0.63,0.01,0.11,0.6396092557178953,0.2640075756488817,0.0156351825020872,-1.3979357200077516,-7.000000000000001,-1.5,11.0,13.124404748406688
0.0,0.0,0.0,0.0,359.5,-6.69,92.06,-0.37,0.19,-0.06,-0.67,0.26,0.16,0.7362744053679987,0.42023802778901387,0.3609136959077843,1.3363806510710858,-65.0,12.5,2.5,66.23820649745885
0.0,0.0,0.0,0.0,359.5,-6.69,92.06,0.25,0.56,0.31,0.22,0.09,0.1,0.25787593916455254,0.6871681017043793,0.3565091632056944,-1.1441688336680205,44.5,-8.5,-3.0,45.403744338985966
0.0,0.0,0.0,0.0,359.5,-6.69,92.06,0.37,0.0,0.0,0.46,0.04,0.12,0.47707441767506253,0.37,0.08394290962518386,-1.3156139361740782,12.0,-2.4999999999999996,0.9999999999999994,12.298373876248844
0.0,0.0,0.0,0.0,359.5,-6.69,92.06,0.37,-0.13,-0.25,-0.29,0.17,0.13,0.360416425818802,0.4650806381693394,0.49119123045054314,1.1493771199070923,-37.5,6.5,0.5000000000000004,38.06244868633651
0.0,0.0,0.0,0.0,359.5,-6.69,92.06,0.0,0.19,0.31,0.18,0.15,0.06,0.24186773244895649,0.36359317925395684,0.6689640742684071,-1.2490457723982544,23.499999999999996,-1.0000000000000009,-3.5000000000000004,23.78024390118823
0.0,0.0,0.0,0.0,359.5,-6.69,92.06,0.0,0.0,0.06,0.05,0.18,0.06,0.19621416870348585,0.06,1.161409192592572,-0.6947382761967033,-6.5,1.5,0.0,6.670832032063167
0.0,0.0,0.0,0.0,359.5,-6.69,92.06,0.13,0.0,0.06,-0.08,0.13,0.0,0.15264337522473748,0.14317821063276354,1.0191413442663497,1.5707963267948966,-6.5,-2.4999999999999996,-3.0,7.582875444051551
0.0,0.0,0.0,0.0,359.5,-6.69,92.06,0.06,0.06,0.13,0.1,0.12,-0.01,0.15652475842498528,0.15524174696260024,0.8736101597897816,-1.6704649792860586,9.0,-0.5000000000000004,-0.5,9.027735042633894
0.0,0.0,0.0,0.0,0.94,-6.62,92.0,3.25,16.19,0.0,-0.22,0.35,1.45,1.5077798247754877,16.512982771141015,0.23426629340532093,0.1505757180962231,-16.0,11.499999999999998,73.0,75.61249896677135
